iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
200,0.07574278938180942,0.177976,0.0032078645510299052,0.5,0.5,-0.046049935941840425,[0.         0.         0.         0.         0.05900788 0.         0.         0.         0.         0.03764762 0.         0.         0.         0.         0.         0.         0.06023914 0.         0.         0.         0.         0.         0.         0.2108886  0.03253983 0.17099952 0.         0.14094813 0.05848926 0.01901555 0.21022446],[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
210,0.07574278938180942,0.177976,0.0032078645510299052,0.5,0.5,0.04597382022608371,[0.         0.         0.         0.         0.05900788 0.         0.         0.         0.         0.03764762 0.         0.         0.         0.         0.         0.         0.06023914 0.         0.         0.         0.         0.         0.         0.2108886  0.03253983 0.17099952 0.         0.14094813 0.05848926 0.01901555 0.21022446],[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
220,0.07574278938180942,0.177976,0.0032078645510299052,0.5,0.5,-0.02788264444745925,[0.         0.         0.         0.         0.05900788 0.         0.         0.         0.         0.03764762 0.         0.         0.         0.         0.         0.         0.06023914 0.         0.         0.         0.         0.         0.         0.2108886  0.03253983 0.17099952 0.         0.14094813 0.05848926 0.01901555 0.21022446],[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
230,0.07543904391261937,0.175929,0.004255161875389769,0.5,0.5,-0.09701324245054133,[0.         0.         0.         0.         0.14769872 0.         0.         0.0260984  0.16462465 0.         0.         0.         0.         0.         0.         0.         0.1095286  0.0360232  0.         0.         0.         0.07483022 0.02428889 0.         0.         0.03973946 0.19797594 0.17919192 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 0. 0. 0.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
240,0.07543904391261937,0.175929,0.004255161875389769,0.5,0.5,-0.03387247631364045,[0.         0.         0.         0.         0.14769872 0.         0.         0.0260984  0.16462465 0.         0.         0.         0.         0.         0.         0.         0.1095286  0.0360232  0.         0.         0.         0.07483022 0.02428889 0.         0.         0.03973946 0.19797594 0.17919192 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 0. 0. 0.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
250,0.07543904391261937,0.175929,0.004255161875389769,0.5,0.5,0.027199391284009524,[0.         0.         0.         0.         0.14769872 0.         0.         0.0260984  0.16462465 0.         0.         0.         0.         0.         0.         0.         0.1095286  0.0360232  0.         0.         0.         0.07483022 0.02428889 0.         0.         0.03973946 0.19797594 0.17919192 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 0. 0. 0.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
260,0.07433417517090034,0.18955,0.004009614857169127,0.5,0.5,-0.03950720061197065,[0.         0.         0.01567511 0.         0.20113665 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.17202268 0.         0.         0.10630188 0.         0.02686825 0.         0.04172195 0.         0.         0.13057604 0.23237373 0.         0.01428649 0.05903721],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
270,0.07433417517090034,0.18955,0.004009614857169127,0.5,0.5,0.06922887948942812,[0.         0.         0.01567511 0.         0.20113665 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.17202268 0.         0.         0.10630188 0.         0.02686825 0.         0.04172195 0.         0.         0.13057604 0.23237373 0.         0.01428649 0.05903721],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
280,0.07433417517090034,0.18955,0.004009614857169127,0.5,0.5,-0.044396182993695965,[0.         0.         0.01567511 0.         0.20113665 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.17202268 0.         0.         0.10630188 0.         0.02686825 0.         0.04172195 0.         0.         0.13057604 0.23237373 0.         0.01428649 0.05903721],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
290,0.07433417517090034,0.18955,0.004009614857169127,0.5,0.5,0.09175367127450301,[0.         0.         0.01567511 0.         0.20113665 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.17202268 0.         0.         0.10630188 0.         0.02686825 0.         0.04172195 0.         0.         0.13057604 0.23237373 0.         0.01428649 0.05903721],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
300,0.07433417517090034,0.18955,0.004009614857169127,0.5,0.5,0.031240546287631663,[0.         0.         0.01567511 0.         0.20113665 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.17202268 0.         0.         0.10630188 0.         0.02686825 0.         0.04172195 0.         0.         0.13057604 0.23237373 0.         0.01428649 0.05903721],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
310,0.07433417517090034,0.18955,0.004009614857169127,0.5,0.5,0.034640111547158264,[0.         0.         0.01567511 0.         0.20113665 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.17202268 0.         0.         0.10630188 0.         0.02686825 0.         0.04172195 0.         0.         0.13057604 0.23237373 0.         0.01428649 0.05903721],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
320,0.07433417517090034,0.18955,0.004009614857169127,0.5,0.5,0.058446926664041526,[0.         0.         0.01567511 0.         0.20113665 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.17202268 0.         0.         0.10630188 0.         0.02686825 0.         0.04172195 0.         0.         0.13057604 0.23237373 0.         0.01428649 0.05903721],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
330,0.07354047207733885,0.186646,0.004527070913876417,0.5,0.5,-0.011895983156853201,[0.         0.09146133 0.         0.06556603 0.0537587  0.         0.         0.         0.         0.         0.         0.08611503 0.         0.02676205 0.         0.0418565  0.         0.         0.         0.         0.05769045 0.         0.         0.         0.11854575 0.21205459 0.         0.24618956 0.         0.         0.        ],[0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
340,0.07354047207733885,0.186646,0.004527070913876417,0.5,0.5,0.033457965442692875,[0.         0.09146133 0.         0.06556603 0.0537587  0.         0.         0.         0.         0.         0.         0.08611503 0.         0.02676205 0.         0.0418565  0.         0.         0.         0.         0.05769045 0.         0.         0.         0.11854575 0.21205459 0.         0.24618956 0.         0.         0.        ],[0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
350,0.07354047207733885,0.186646,0.004527070913876417,0.5,0.5,0.03628920840513606,[0.         0.09146133 0.         0.06556603 0.0537587  0.         0.         0.         0.         0.         0.         0.08611503 0.         0.02676205 0.         0.0418565  0.         0.         0.         0.         0.05769045 0.         0.         0.         0.11854575 0.21205459 0.         0.24618956 0.         0.         0.        ],[0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
360,0.07354047207733885,0.186646,0.004527070913876417,0.5,0.5,0.02532754488518106,[0.         0.09146133 0.         0.06556603 0.0537587  0.         0.         0.         0.         0.         0.         0.08611503 0.         0.02676205 0.         0.0418565  0.         0.         0.         0.         0.05769045 0.         0.         0.         0.11854575 0.21205459 0.         0.24618956 0.         0.         0.        ],[0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
370,0.07233910788309413,0.179488,0.002375833046764335,0.5,0.5,0.061805360677795754,[0.         0.         0.         0.         0.         0.         0.         0.         0.09803365 0.         0.         0.04251537 0.         0.         0.02615342 0.         0.15100969 0.         0.03208964 0.         0.         0.         0.         0.1404164  0.04696012 0.23618692 0.         0.12290969 0.         0.         0.1037251 ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 0. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
380,0.07233910788309413,0.179488,0.002375833046764335,0.5,0.5,-0.07004040699233254,[0.         0.         0.         0.         0.         0.         0.         0.         0.09803365 0.         0.         0.04251537 0.         0.         0.02615342 0.         0.15100969 0.         0.03208964 0.         0.         0.         0.         0.1404164  0.04696012 0.23618692 0.         0.12290969 0.         0.         0.1037251 ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 0. 1.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
