iter,cost,risk,return,par,bw,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
2000,0.0484377872318044,0.10079,0.003914425536391212,0.22,1.3685108578372633,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
2100,0.0484377872318044,0.10079,0.003914425536391212,0.226,1.3427932828077338,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
2200,0.0484377872318044,0.10079,0.003914425536391212,0.23199999999999998,1.3175590022011985,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
2300,0.0484377872318044,0.10079,0.003914425536391212,0.238,1.2927989337655772,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
2400,0.0484377872318044,0.10079,0.003914425536391212,0.244,1.268504165925916,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
2500,0.0484377872318044,0.10079,0.003914425536391212,0.25,1.2446659545769567,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
2600,0.0484377872318044,0.10079,0.003914425536391212,0.256,1.221275719935983,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
2700,0.0484377872318044,0.10079,0.003914425536391212,0.262,1.1983250434548096,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
2800,0.0484377872318044,0.10079,0.003914425536391212,0.268,1.1758056647898008,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
2900,0.0484377872318044,0.10079,0.003914425536391212,0.274,1.1537094788288318,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
