iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
210,0.040975390002083,0.179918,0.0029984633408660756,0.184,0.5673506835701907,-0.009791695017201112,[0.         0.         0.         0.         0.0348638  0.         0.         0.         0.03935519 0.         0.         0.         0.03109795 0.         0.         0.         0.         0.         0.         0.         0.         0.03519745 0.         0.03964499 0.         0.06667103 0.         0.61644202 0.06452255 0.02483072 0.04737429],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
220,0.040975390002083,0.179918,0.0029984633408660756,0.188,0.5550206700078687,0.037720942910349525,[0.         0.         0.         0.         0.0348638  0.         0.         0.         0.03935519 0.         0.         0.         0.03109795 0.         0.         0.         0.         0.         0.         0.         0.         0.03519745 0.         0.03964499 0.         0.06667103 0.         0.61644202 0.06452255 0.02483072 0.04737429],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
230,0.040975390002083,0.179918,0.0029984633408660756,0.192,0.5429586198742506,-0.05577754295478786,[0.         0.         0.         0.         0.0348638  0.         0.         0.         0.03935519 0.         0.         0.         0.03109795 0.         0.         0.         0.         0.         0.         0.         0.         0.03519745 0.         0.03964499 0.         0.06667103 0.         0.61644202 0.06452255 0.02483072 0.04737429],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
240,0.040975390002083,0.179918,0.0029984633408660756,0.196,0.531158709623502,-7.060882950913509e-05,[0.         0.         0.         0.         0.0348638  0.         0.         0.         0.03935519 0.         0.         0.         0.03109795 0.         0.         0.         0.         0.         0.         0.         0.         0.03519745 0.         0.03964499 0.         0.06667103 0.         0.61644202 0.06452255 0.02483072 0.04737429],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
250,0.040975390002083,0.179918,0.0029984633408660756,0.2,0.5196152422706632,-0.042964283303928694,[0.         0.         0.         0.         0.0348638  0.         0.         0.         0.03935519 0.         0.         0.         0.03109795 0.         0.         0.         0.         0.         0.         0.         0.         0.03519745 0.         0.03964499 0.         0.06667103 0.         0.61644202 0.06452255 0.02483072 0.04737429],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
260,0.040975390002083,0.179918,0.0029984633408660756,0.20400000000000001,0.5083226446411516,-0.06520125083016046,[0.         0.         0.         0.         0.0348638  0.         0.         0.         0.03935519 0.         0.         0.         0.03109795 0.         0.         0.         0.         0.         0.         0.         0.         0.03519745 0.         0.03964499 0.         0.06667103 0.         0.61644202 0.06452255 0.02483072 0.04737429],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
270,0.040975390002083,0.179918,0.0029984633408660756,0.20800000000000002,0.4972754646800379,-0.025191249848198205,[0.         0.         0.         0.         0.0348638  0.         0.         0.         0.03935519 0.         0.         0.         0.03109795 0.         0.         0.         0.         0.         0.         0.         0.         0.03519745 0.         0.03964499 0.         0.06667103 0.         0.61644202 0.06452255 0.02483072 0.04737429],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
280,0.040975390002083,0.179918,0.0029984633408660756,0.21200000000000002,0.4864683688197995,0.009738418219276512,[0.         0.         0.         0.         0.0348638  0.         0.         0.         0.03935519 0.         0.         0.         0.03109795 0.         0.         0.         0.         0.         0.         0.         0.         0.03519745 0.         0.03964499 0.         0.06667103 0.         0.61644202 0.06452255 0.02483072 0.04737429],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
290,0.040975390002083,0.179918,0.0029984633408660756,0.21600000000000003,0.47589613940527953,0.010533063474043983,[0.         0.         0.         0.         0.0348638  0.         0.         0.         0.03935519 0.         0.         0.         0.03109795 0.         0.         0.         0.         0.         0.         0.         0.         0.03519745 0.         0.03964499 0.         0.06667103 0.         0.61644202 0.06452255 0.02483072 0.04737429],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
300,0.040975390002083,0.179918,0.0029984633408660756,0.22000000000000003,0.46555367217460797,-0.07639772181735749,[0.         0.         0.         0.         0.0348638  0.         0.         0.         0.03935519 0.         0.         0.         0.03109795 0.         0.         0.         0.         0.         0.         0.         0.         0.03519745 0.         0.03964499 0.         0.06667103 0.         0.61644202 0.06452255 0.02483072 0.04737429],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
