iter,cost,return,par,move,X,Z,Q,max_iter,mem_size,mem_consider,sigma,port_n,k,seed,tag
210,0.07205963414758226,0.004150818857272651,0.5,4.146496818436878,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
220,0.07205963414758226,0.004150818857272651,0.5,-0.3519707923902654,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
230,0.07205963414758226,0.004150818857272651,0.5,-0.4198772810991347,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
240,0.07205963414758226,0.004150818857272651,0.5,2.678304664822296,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
250,0.07205963414758226,0.004150818857272651,0.5,1.1207881307439298,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
260,0.07205963414758226,0.004150818857272651,0.5,0.8464792844783376,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
270,0.07205963414758226,0.004150818857272651,0.5,-1.3824028911286539,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
280,0.07205963414758226,0.004150818857272651,0.5,-1.0142215033804425,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
290,0.07205963414758226,0.004150818857272651,0.5,1.486598619064518,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
300,0.07205963414758226,0.004150818857272651,0.5,2.3158894328699504,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
