iter,cost,return,par,move,X,Z,Q,max_iter,mem_size,mem_consider,sigma,port_n,k,seed,tag
200,0.1365646621149204,0.005222735739975831,0.7,0.20478695585545667,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
210,0.1365646621149204,0.005222735739975831,0.7,-1.5322226216329504,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
220,0.1365646621149204,0.005222735739975831,0.7,-0.3685008792872318,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
230,0.1365646621149204,0.005222735739975831,0.7,0.38747794526605267,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
240,0.1365646621149204,0.005222735739975831,0.7,-0.5227840660630607,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
250,0.1365646621149204,0.005222735739975831,0.7,0.7890306005573466,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
260,0.1365646621149204,0.005222735739975831,0.7,-2.520073930517105,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
270,0.1365646621149204,0.005222735739975831,0.7,0.5265784089189447,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
280,0.1365646621149204,0.005222735739975831,0.7,0.5956965379986401,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
290,0.1365646621149204,0.005222735739975831,0.7,-0.714402790382895,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
